seed,run,method,feature_set,classifier,select_k,selection_score_func,n_train,n_samples,metrics_path,accuracy,precision,recall,f1,roc_auc,brier_score,expected_calibration_error
17,combined_v3_logreg,feature_combined_v3_logistic_regression,combined_v3,logistic_regression,0,,240,114,runs\combined_v4_medium_selectk_probe\seed17\combined_v3_logreg\metrics.json,0.7456140350877193,0.7213114754098361,0.7857142857142857,0.7521367521367521,0.8392857142857143,0.1727333599381972,0.1441652354157285
17,combined_v4_logreg,feature_combined_v4_logistic_regression,combined_v4,logistic_regression,0,,240,114,runs\combined_v4_medium_selectk_probe\seed17\combined_v4_logreg\metrics.json,0.7456140350877193,0.7142857142857143,0.8035714285714286,0.7563025210084033,0.8260467980295566,0.18264260260953874,0.13111621714008198
17,combined_v4_logreg_selectk60,feature_combined_v4_logistic_regression_selectk60,combined_v4,logistic_regression,60,f_classif,240,114,runs\combined_v4_medium_selectk_probe\seed17\combined_v4_logreg_selectk60\metrics.json,0.7280701754385965,0.6984126984126984,0.7857142857142857,0.7394957983193278,0.8195812807881774,0.17704103166745086,0.07689942290709409
17,combined_v4_logreg_selectk80,feature_combined_v4_logistic_regression_selectk80,combined_v4,logistic_regression,80,f_classif,240,114,runs\combined_v4_medium_selectk_probe\seed17\combined_v4_logreg_selectk80\metrics.json,0.6929824561403509,0.6666666666666666,0.75,0.7058823529411765,0.7884852216748769,0.20329812900030222,0.1289066569293027
29,combined_v3_logreg,feature_combined_v3_logistic_regression,combined_v3,logistic_regression,0,,240,114,runs\combined_v4_medium_selectk_probe\seed29\combined_v3_logreg\metrics.json,0.7105263157894737,0.7090909090909091,0.6964285714285714,0.7027027027027027,0.7986453201970444,0.1908770498652085,0.11105316579593355
29,combined_v4_logreg,feature_combined_v4_logistic_regression,combined_v4,logistic_regression,0,,240,114,runs\combined_v4_medium_selectk_probe\seed29\combined_v4_logreg\metrics.json,0.7192982456140351,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8140394088669951,0.18420466483511463,0.12522974580323326
29,combined_v4_logreg_selectk60,feature_combined_v4_logistic_regression_selectk60,combined_v4,logistic_regression,60,f_classif,240,114,runs\combined_v4_medium_selectk_probe\seed29\combined_v4_logreg_selectk60\metrics.json,0.7368421052631579,0.7166666666666667,0.7678571428571429,0.7413793103448276,0.8165024630541873,0.18270150568946467,0.09587275193778846
29,combined_v4_logreg_selectk80,feature_combined_v4_logistic_regression_selectk80,combined_v4,logistic_regression,80,f_classif,240,114,runs\combined_v4_medium_selectk_probe\seed29\combined_v4_logreg_selectk80\metrics.json,0.7192982456140351,0.7222222222222222,0.6964285714285714,0.7090909090909091,0.8309729064039408,0.18086708512444977,0.1091728771221792
7,combined_v3_logreg,feature_combined_v3_logistic_regression,combined_v3,logistic_regression,0,,240,114,runs\combined_v4_medium_selectk_probe\seed7\combined_v3_logreg\metrics.json,0.7982456140350878,0.7894736842105263,0.8035714285714286,0.7964601769911505,0.8322044334975369,0.16575764586714298,0.13187139164431738
7,combined_v4_logreg,feature_combined_v4_logistic_regression,combined_v4,logistic_regression,0,,240,114,runs\combined_v4_medium_selectk_probe\seed7\combined_v4_logreg\metrics.json,0.7982456140350878,0.7894736842105263,0.8035714285714286,0.7964601769911505,0.854371921182266,0.15526369689812172,0.08833557960730232
7,combined_v4_logreg_selectk60,feature_combined_v4_logistic_regression_selectk60,combined_v4,logistic_regression,60,f_classif,240,114,runs\combined_v4_medium_selectk_probe\seed7\combined_v4_logreg_selectk60\metrics.json,0.7894736842105263,0.7758620689655172,0.8035714285714286,0.7894736842105263,0.8497536945812808,0.15472143245835795,0.052166843769475474
7,combined_v4_logreg_selectk80,feature_combined_v4_logistic_regression_selectk80,combined_v4,logistic_regression,80,f_classif,240,114,runs\combined_v4_medium_selectk_probe\seed7\combined_v4_logreg_selectk80\metrics.json,0.7807017543859649,0.7719298245614035,0.7857142857142857,0.7787610619469026,0.8611453201970444,0.15397199365030637,0.06609230098024055
