seed,fusion_c,dropout_config,source_fake_rate_cap,selection_validation_utility_mean,selection_validation_utility_min,threshold,threshold_source_utility,threshold_source_predicted_positive_rate,source_utility,source_accuracy,source_precision,source_recall,source_f1,source_roc_auc,source_brier_score,source_expected_calibration_error,source_predicted_positive_rate,target_utility,target_accuracy,target_precision,target_recall,target_f1,target_roc_auc,target_brier_score,target_expected_calibration_error,target_predicted_positive_rate,constraint_policy,selection_score
7,0.3,mean0p35x8,0.4,0.9679659215464842,0.42941176470588216,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,0.04649014778325161,0.7631578947368421,0.7230769230769231,0.8392857142857143,0.7768595041322314,0.8380541871921181,0.3001660525422613,0.3324806540284099,0.5701754385964912,cap_0p4,min
7,0.01,none,0.42,1.053193194273757,0.42941176470588216,0.6728701820744158,1.5249999999999997,0.42,1.5249999999999997,0.91,0.9880952380952381,0.83,0.9021739130434783,0.9883000000000001,0.07438433727465613,0.1842079287382738,0.42,-0.042795566502462745,0.7456140350877193,0.7142857142857143,0.8035714285714286,0.7563025210084033,0.8223522167487685,0.211160584250967,0.1652088433092106,0.5526315789473685,cap_0p42,min
7,0.01,mean0p35x8,0.45,1.1687380288083613,0.5764705882352941,0.8441494636830659,1.6749999999999998,0.45,1.6749999999999998,0.94,0.9888888888888889,0.89,0.9368421052631579,0.9905,0.03361302367059568,0.04394839877150637,0.45,-0.12284482758620663,0.7543859649122807,0.7,0.875,0.7777777777777778,0.8291256157635467,0.25175030872312437,0.2800629668850473,0.6140350877192983,cap_0p45,min
7,1.0,none,0.48,1.3522909954495632,0.8705882352941177,0.8888276090300833,1.8249999999999997,0.48,1.8249999999999997,0.97,0.9895833333333334,0.95,0.9693877551020408,0.9924999999999999,0.021234388952972534,0.02214192033205732,0.48,-0.32758620689655205,0.7631578947368421,0.6746987951807228,1.0,0.8057553956834532,0.8389778325123154,0.3036548114243108,0.3341339232783891,0.7280701754385965,cap_0p48,min
7,1.0,none,0.5,1.4686592818945758,1.0176470588235293,0.7586928712943065,1.8499999999999999,0.485,1.8499999999999999,0.975,0.9896907216494846,0.96,0.9746192893401016,0.9924999999999999,0.021234388952972534,0.02214192033205732,0.485,-1.1896551724137934,0.6754385964912281,0.6021505376344086,1.0,0.7516778523489933,0.8389778325123154,0.3036548114243108,0.3341339232783891,0.8157894736842105,cap_0p5,min
17,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.2213669950738914,0.7105263157894737,0.6949152542372882,0.7321428571428571,0.7130434782608696,0.7872536945812808,0.3034790271523838,0.29392343140551097,0.5175438596491229,cap_0p4,min
17,0.01,mean0p35x8,0.42,1.2063618925831203,0.3823529411764708,0.8775260028384775,1.5999999999999999,0.42,1.5999999999999999,0.92,1.0,0.84,0.9130434782608695,0.9965999999999999,0.02529099508650916,0.04281711489834653,0.42,-0.43534482758620663,0.6929824561403509,0.6666666666666666,0.75,0.7058823529411765,0.7838669950738916,0.284589930868736,0.2731265171959284,0.5526315789473685,cap_0p42,min
17,0.01,mean0p35x8,0.45,1.248934356351236,0.3823529411764708,0.8344004172363589,1.75,0.45,1.75,0.95,1.0,0.9,0.9473684210526315,0.9965999999999999,0.02529099508650916,0.04281711489834653,0.45,-0.7770935960591132,0.6666666666666666,0.6285714285714286,0.7857142857142857,0.6984126984126984,0.7838669950738916,0.284589930868736,0.2731265171959284,0.6140350877192983,cap_0p45,min
17,1.0,none,0.48,1.4508205456095482,0.8043478260869565,0.8631909892836402,1.875,0.475,1.875,0.975,1.0,0.95,0.9743589743589743,0.9983,0.017128227369670748,0.02015228566734522,0.475,-1.0711206896551724,0.6578947368421053,0.6049382716049383,0.875,0.7153284671532847,0.7783251231527094,0.30245201068121164,0.3193526786368933,0.7105263157894737,cap_0p48,min
17,0.01,none,0.5,1.481971440750213,0.9130434782608694,0.6214658374788621,1.775,0.47,1.775,0.96,0.9893617021276596,0.93,0.9587628865979382,0.9954,0.06458339015838127,0.18589468890572833,0.47,-0.8186576354679803,0.6666666666666666,0.625,0.8035714285714286,0.703125,0.7740147783251232,0.22728234999454575,0.1600403468976239,0.631578947368421,cap_0p5,min
29,0.3,none,0.4,1.1545454545454545,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.6884236453201973,0.8157894736842105,0.8301886792452831,0.7857142857142857,0.8073394495412844,0.8830049261083743,0.25151819148580956,0.28631062302976784,0.4649122807017544,cap_0p4,min
29,0.01,none,0.42,1.1845959595959596,0.6249999999999999,0.674953095434044,1.5999999999999999,0.42,1.5999999999999999,0.92,1.0,0.84,0.9130434782608695,0.9899,0.07568435788978561,0.20215498964475181,0.42,0.6468596059113302,0.8157894736842105,0.8181818181818182,0.8035714285714286,0.8108108108108109,0.8820812807881773,0.1849206278524728,0.18327584508511566,0.4824561403508772,cap_0p42,min
29,0.01,mean0p35x8,0.45,1.3106060606060608,0.75,0.7890534110795662,1.75,0.45,1.75,0.95,1.0,0.9,0.9473684210526315,0.9932000000000001,0.033997464672819444,0.04870357626228062,0.45,0.0942118226600987,0.7807017543859649,0.7246376811594203,0.8928571428571429,0.8,0.8848522167487685,0.21841745719836753,0.23277489966968606,0.6052631578947368,cap_0p45,min
29,0.01,mean0p35x8,0.48,1.4747474747474747,0.75,0.7841887170085956,1.7750000000000001,0.455,1.7750000000000001,0.955,1.0,0.91,0.9528795811518325,0.9932000000000001,0.033997464672819444,0.04870357626228062,0.455,0.0942118226600987,0.7807017543859649,0.7246376811594203,0.8928571428571429,0.8,0.8848522167487685,0.21841745719836753,0.23277489966968606,0.6052631578947368,cap_0p48,min
29,1.0,mean0p35x8,0.5,1.5525252525252526,1.0,0.9683938398891229,1.7750000000000001,0.455,1.7750000000000001,0.955,1.0,0.91,0.9528795811518325,0.9962,0.025035862569215903,0.018245018514523863,0.455,0.0942118226600987,0.7807017543859649,0.7246376811594203,0.8928571428571429,0.8,0.8876231527093595,0.2910517728546717,0.3058514764152862,0.6052631578947368,cap_0p5,min
