variant,score_mode,constraint_policy,seed,tile_branch,fusion_c,dropout_config,source_fake_rate_cap,selection_validation_utility_mean,selection_validation_utility_min,threshold,threshold_source_utility,threshold_source_predicted_positive_rate,source_utility,source_accuracy,source_precision,source_recall,source_f1,source_roc_auc,source_brier_score,source_expected_calibration_error,source_predicted_positive_rate,target_utility,target_accuracy,target_precision,target_recall,target_f1,target_roc_auc,target_brier_score,target_expected_calibration_error,target_predicted_positive_rate
resize_half,global,cap_0p4,7,dinov2_vits14,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,-0.4322660098522167,0.7017543859649122,0.6666666666666666,0.7857142857142857,0.7213114754098361,0.7952586206896551,0.3336098926044555,0.3610718232603754,0.5789473684210527
resize_half,tile_mean,cap_0p4,7,dinov2_vits14,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,-0.34605911330049227,0.7105263157894737,0.676923076923077,0.7857142857142857,0.7272727272727273,0.8014162561576355,0.3328251905378621,0.36098631565566214,0.5701754385964912
resize_half,tile_max,cap_0p4,7,dinov2_vits14,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,-0.42918719211822676,0.7105263157894737,0.6666666666666666,0.8214285714285714,0.736,0.8038793103448276,0.3502416379443895,0.3793689518875677,0.6052631578947368
resize_half,tile_top2_mean,cap_0p4,7,dinov2_vits14,0.3,mean0p35x8,0.4,0.9679659215464842,0.4294117647058821,0.986242431336219,1.425,0.4,1.425,0.89,0.9875,0.79,0.8777777777777778,0.992,0.02622799521272439,0.025279530084538156,0.4,-0.42918719211822676,0.7105263157894737,0.6666666666666666,0.8214285714285714,0.736,0.8035714285714285,0.3458901825222529,0.374999043875035,0.6052631578947368
resize_half,global,cap_0p4,17,dinov2_vits14,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.43534482758620663,0.6929824561403509,0.6666666666666666,0.75,0.7058823529411765,0.7253694581280787,0.3513289098447627,0.3480803606151096,0.5526315789473685
resize_half,tile_mean,cap_0p4,17,dinov2_vits14,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.43534482758620663,0.6929824561403509,0.6666666666666666,0.75,0.7058823529411765,0.7250615763546798,0.34208915463948303,0.3568956394508141,0.5526315789473685
resize_half,tile_max,cap_0p4,17,dinov2_vits14,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.34298029556650234,0.7192982456140351,0.6764705882352942,0.8214285714285714,0.7419354838709677,0.7533866995073891,0.3533271271080578,0.36212399901293313,0.5964912280701754
resize_half,tile_top2_mean,cap_0p4,17,dinov2_vits14,0.03,mean0p35x8,0.4,1.1294388156600434,0.3823529411764708,0.9541108211355198,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9969,0.022660159621598223,0.030775615366997865,0.4,-0.3876231527093593,0.7105263157894737,0.6716417910447762,0.8035714285714286,0.7317073170731707,0.7533866995073891,0.35060839012707823,0.35753448375502694,0.5877192982456141
resize_half,global,cap_0p4,29,dinov2_vits14,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.08497536945812806,0.7543859649122807,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.8241995073891626,0.2896725597517559,0.3138617646659939,0.5263157894736842
resize_half,tile_mean,cap_0p4,29,dinov2_vits14,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.040332512315271074,0.7456140350877193,0.7288135593220338,0.7678571428571429,0.7478260869565218,0.8266625615763546,0.28699361223405623,0.30851198788186823,0.5175438596491229
resize_half,tile_max,cap_0p4,29,dinov2_vits14,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.12961822660098543,0.7631578947368421,0.7377049180327869,0.8035714285714286,0.7692307692307693,0.8294334975369458,0.2938989814174807,0.3194153470118998,0.5350877192982456
resize_half,tile_top2_mean,cap_0p4,29,dinov2_vits14,0.3,none,0.4,1.1545454545454543,0.5,0.9397460412935571,1.5,0.4,1.5,0.9,1.0,0.8,0.8888888888888888,0.9974999999999999,0.02205774835737781,0.043256238723679744,0.4,0.12961822660098543,0.7631578947368421,0.7377049180327869,0.8035714285714286,0.7692307692307693,0.8291256157635468,0.29310455333918295,0.3163583993714365,0.5350877192982456
