section,check,passed,detail
manifest,all required sections listed,True,all required sections listed
WIFS Introduction Draft,section exists,True,present
WIFS Introduction Draft,word count in range,True,138 words; allowed 100-220
WIFS Introduction Draft,recorded word count matches text,True,"computed 138, recorded 138"
WIFS Introduction Draft,required phrase present: source-heldout,True,present
WIFS Introduction Draft,required phrase present: ranking,True,present
WIFS Introduction Draft,required phrase present: calibration,True,present
WIFS Introduction Draft,required phrase present: 0.8450,True,present
WIFS Introduction Draft,required phrase present: 0.8641,True,present
WIFS Related Work Draft,section exists,True,present
WIFS Related Work Draft,word count in range,True,99 words; allowed 80-180
WIFS Related Work Draft,recorded word count matches text,True,"computed 99, recorded 99"
WIFS Related Work Draft,required phrase present: universal_fake_detectors_2023,True,present
WIFS Related Work Draft,required phrase present: single-image physical/signal proxy,True,present
WIFS Related Work Draft,required phrase present: photometric stereo,True,present
WIFS Data And Audit Draft,section exists,True,present
WIFS Data And Audit Draft,word count in range,True,136 words; allowed 80-180
WIFS Data And Audit Draft,recorded word count matches text,True,"computed 136, recorded 136"
WIFS Data And Audit Draft,required phrase present: Ishu AI-vs-real,True,present
WIFS Data And Audit Draft,required phrase present: MS COCOAI,True,present
WIFS Data And Audit Draft,required phrase present: raw datasets,True,present
WIFS Data And Audit Draft,required phrase present: artifact manifests,True,present
WIFS Methods Draft,section exists,True,present
WIFS Methods Draft,word count in range,True,101 words; allowed 80-180
WIFS Methods Draft,recorded word count matches text,True,"computed 101, recorded 101"
WIFS Methods Draft,required phrase present: combined_v3,True,present
WIFS Methods Draft,required phrase present: ResNet-18,True,present
WIFS Methods Draft,required phrase present: SCP-Fusion,True,present
WIFS Methods Draft,required phrase present: Brier score,True,present
WIFS Methods Draft,required phrase present: ECE,True,present
WIFS Results Draft,section exists,True,present
WIFS Results Draft,word count in range,True,206 words; allowed 120-240
WIFS Results Draft,recorded word count matches text,True,"computed 206, recorded 206"
WIFS Results Draft,required phrase present: 0.8246,True,present
WIFS Results Draft,required phrase present: 0.8450,True,present
WIFS Results Draft,required phrase present: 0.8641,True,present
WIFS Results Draft,required phrase present: 0.7749,True,present
WIFS Results Draft,required phrase present: JPEG30,True,present
WIFS Results Draft,required phrase present: blur,True,present
DFF Expansion Draft,section exists,True,present
DFF Expansion Draft,word count in range,True,147 words; allowed 100-220
DFF Expansion Draft,recorded word count matches text,True,"computed 147, recorded 147"
DFF Expansion Draft,required phrase present: diagnostic protocol,True,present
DFF Expansion Draft,required phrase present: combined_v4,True,present
DFF Expansion Draft,required phrase present: AEROBLADE/FIRE-style,True,present
DFF Expansion Draft,required phrase present: ablation candidate,True,present
Limitations And Reproducibility Draft,section exists,True,present
Limitations And Reproducibility Draft,word count in range,True,105 words; allowed 80-180
Limitations And Reproducibility Draft,recorded word count matches text,True,"computed 105, recorded 105"
Limitations And Reproducibility Draft,required phrase present: single-image proxy,True,present
Limitations And Reproducibility Draft,required phrase present: does not universally beat frozen CLIP,True,present
Limitations And Reproducibility Draft,required phrase present: official venue templates,True,present
Limitations And Reproducibility Draft,required phrase present: verified bibliography metadata,True,present
global,avoid overclaim: \bstate[- ]of[- ]the[- ]art\b,True,not found
global,avoid overclaim: \bproduction[- ]ready\b,True,not found
global,avoid overclaim: \bguaranteed\b,True,not found
global,avoid overclaim: \bSCP-Fusion beats CLIP\b,True,not found
global,avoid overclaim: \buniversally beats\b,True,not found
global,avoid overclaim: \brobust to processing\b,True,not found
