order,asset,command,status,returncode,elapsed_seconds
1,literature map,python scripts/build_literature_map.py,planned,0,0.0
2,draft BibTeX references,python scripts/build_references_bib.py,planned,0,0.0
3,source-heldout model selection,python scripts/select_reverse_fusion_by_source_holdout.py,planned,0,0.0
4,source-heldout stress figure,python scripts/build_source_stress_figure.py,planned,0,0.0
5,publication tables,python scripts/build_publication_tables.py,planned,0,0.0
6,robustness failure ranking,python scripts/build_robustness_failure_ranking.py,planned,0,0.0
7,publication figures,python scripts/build_publication_assets.py,planned,0,0.0
8,opportunity watchlist,python scripts/build_opportunity_watchlist.py,planned,0,0.0
9,external benchmark readiness,python scripts/build_external_benchmark_readiness.py,planned,0,0.0
10,external benchmark claim lint,python scripts/lint_external_benchmark_claims.py,planned,0,0.0
11,SOTA gap report,python scripts/build_sota_gap_report.py,planned,0,0.0
12,SOTA gap closure plan,python scripts/build_sota_gap_closure_plan.py,planned,0,0.0
13,reconstruction-lite feature report,python scripts/build_reconstruction_lite_feature_report.py,planned,0,0.0
14,reconstruction-v2 feature report,python scripts/build_reconstruction_v2_feature_report.py,planned,0,0.0
15,reconstruction-v2 bounded probe,python scripts/summarize_reconstruction_v2_probe.py,planned,0,0.0
16,reconstruction-lite bounded probe,python scripts/summarize_reconstruction_lite_probe.py,planned,0,0.0
17,reconstruction-lite transfer probe,python scripts/summarize_reconstruction_lite_transfer_probe.py,planned,0,0.0
18,reconstruction-lite fusion probe,python scripts/summarize_reconstruction_lite_fusion_probe.py,planned,0,0.0
19,tiled foundation comparison,python scripts/build_tiled_foundation_comparison.py,planned,0,0.0
20,tiled foundation fusion comparison,python scripts/build_tiled_foundation_fusion_comparison.py,planned,0,0.0
21,tiled DINO resize-half fusion robustness,python scripts/evaluate_reverse_tiled_fusion_robustness.py --variant resize_half --tile-branch dinov2_vits14 --tile-detail reports/assets/tiled_dinov2_resize_half_reverse_transfer_detail.csv --asset-prefix ms_cocoai_to_ishu_tuned_fusion_resize_half_tiled_dinov2 --report-path reports/ms_cocoai_to_ishu_tuned_fusion_resize_half_tiled_dinov2_2026_06_14.md,planned,0,0.0
22,tiled DINO blur1 fusion robustness,python scripts/evaluate_reverse_tiled_fusion_robustness.py --variant blur1 --tile-branch dinov2_vits14 --tile-detail reports/assets/tiled_dinov2_blur1_reverse_transfer_detail.csv --asset-prefix ms_cocoai_to_ishu_tuned_fusion_blur1_tiled_dinov2 --report-path reports/ms_cocoai_to_ishu_tuned_fusion_blur1_tiled_dinov2_2026_06_14.md,planned,0,0.0
23,tiled DINO JPEG30 fusion robustness,python scripts/evaluate_reverse_tiled_fusion_robustness.py --variant jpeg30 --tile-branch dinov2_vits14 --tile-detail reports/assets/tiled_dinov2_jpeg30_reverse_transfer_detail.csv --asset-prefix ms_cocoai_to_ishu_tuned_fusion_jpeg30_tiled_dinov2 --report-path reports/ms_cocoai_to_ishu_tuned_fusion_jpeg30_tiled_dinov2_2026_06_14.md,planned,0,0.0
24,tiled DINO screenshot fusion robustness,python scripts/evaluate_reverse_tiled_fusion_robustness.py --variant screenshot --tile-branch dinov2_vits14 --tile-detail reports/assets/tiled_dinov2_screenshot_reverse_transfer_detail.csv --asset-prefix ms_cocoai_to_ishu_tuned_fusion_screenshot_tiled_dinov2 --report-path reports/ms_cocoai_to_ishu_tuned_fusion_screenshot_tiled_dinov2_2026_06_14.md,planned,0,0.0
25,tiled DINO transform stress comparison,python scripts/build_tiled_dinov2_transform_stress_comparison.py,planned,0,0.0
26,tiled DINO calibration tradeoff,python scripts/build_tiled_dinov2_calibration_tradeoff.py,planned,0,0.0
27,claim matrix,python scripts/build_claim_evidence_matrix.py,planned,0,0.0
28,method family comparison,python scripts/build_method_family_comparison.py,planned,0,0.0
29,submission result tables,python scripts/build_submission_result_tables.py,planned,0,0.0
30,submission result table lint,python scripts/lint_submission_result_tables.py,planned,0,0.0
31,submission LaTeX tables,python scripts/build_submission_latex_tables.py,planned,0,0.0
32,submission text drafts,python scripts/build_submission_text_drafts.py,planned,0,0.0
33,paper section drafts,python scripts/build_paper_section_drafts.py,planned,0,0.0
34,paper section draft lint,python scripts/lint_paper_section_drafts.py,planned,0,0.0
35,submission paper skeletons,python scripts/build_submission_paper_skeletons.py,planned,0,0.0
36,paper skeleton lint,python scripts/lint_paper_skeletons.py,planned,0,0.0
37,DFRWS poster brief,python scripts/build_dfrws_poster_brief.py,planned,0,0.0
38,DFRWS poster panels,python scripts/build_dfrws_poster_figures.py,planned,0,0.0
39,DFRWS poster package lint,python scripts/lint_dfrws_poster_package.py,planned,0,0.0
40,publication control suite dry run,python scripts/run_publication_control_suite.py --dry-run,planned,0,0.0
41,submission packet,python scripts/build_submission_packet.py,planned,0,0.0
42,submission package lint,python scripts/lint_submission_package.py,planned,0,0.0
43,submission scorecard,python scripts/build_submission_scorecard.py,planned,0,0.0
44,submission upload checklist,python scripts/build_submission_upload_checklist.py,planned,0,0.0
