candidate,baseline,metric,candidate_mean,baseline_mean,delta_mean
reconstruction_lite_logreg,combined_v3_logreg,accuracy,0.5949999999999999,0.547,0.04799999999999982
reconstruction_lite_logreg,combined_v3_logreg,roc_auc,0.6361519999999999,0.5833646666666666,0.0527873333333333
reconstruction_lite_logreg,combined_v3_logreg,brier_score,0.23773374344567433,0.3338714982785338,-0.09613775483285947
reconstruction_lite_logreg,combined_v3_logreg,expected_calibration_error,0.04304971908557779,0.27512078465202555,-0.23207106556644777
reconstruction_lite_logreg,combined_v3_logreg,precision,0.6026612405007926,0.6009535672683678,0.0017076732324248223
reconstruction_lite_logreg,combined_v3_logreg,recall,0.5566666666666666,0.272,0.2846666666666666
reconstruction_lite_logreg,combined_v3_logreg,f1,0.5779194535701356,0.3740208763314024,0.20389857723873323
reconstruction_lite_logreg,combined_v3_logreg,maximum_calibration_error,0.47315161655229127,0.4037187812914307,0.06943283526086058
reconstruction_lite_logreg,combined_v3_logreg,fake_call_rate,0.46166666666666667,0.225,0.23666666666666666
reconstruction_lite_logreg,combined_v3_logreg,real_false_positive_rate,0.3666666666666667,0.17800000000000002,0.18866666666666668
reconstruction_lite_logreg,combined_v3_logreg,fake_miss_rate,0.44333333333333336,0.7280000000000001,-0.28466666666666673
mean_fusion,combined_v3_logreg,accuracy,0.5633333333333334,0.547,0.01633333333333331
mean_fusion,combined_v3_logreg,roc_auc,0.6230106666666667,0.5833646666666666,0.03964600000000007
mean_fusion,combined_v3_logreg,brier_score,0.25870975221584114,0.3338714982785338,-0.07516174606269266
mean_fusion,combined_v3_logreg,expected_calibration_error,0.13699954890665372,0.27512078465202555,-0.13812123574537183
mean_fusion,combined_v3_logreg,precision,0.6197417260289974,0.6009535672683678,0.01878815876062956
mean_fusion,combined_v3_logreg,recall,0.318,0.272,0.045999999999999985
mean_fusion,combined_v3_logreg,f1,0.4192815077589294,0.3740208763314024,0.04526063142752701
mean_fusion,combined_v3_logreg,maximum_calibration_error,0.21670576891085994,0.4037187812914307,-0.18701301238057075
mean_fusion,combined_v3_logreg,fake_call_rate,0.25466666666666665,0.225,0.029666666666666647
mean_fusion,combined_v3_logreg,real_false_positive_rate,0.19133333333333336,0.17800000000000002,0.013333333333333336
mean_fusion,combined_v3_logreg,fake_miss_rate,0.6819999999999999,0.7280000000000001,-0.04600000000000015
source_logreg_fusion,combined_v3_logreg,accuracy,0.5543333333333335,0.547,0.007333333333333414
source_logreg_fusion,combined_v3_logreg,roc_auc,0.612464,0.5833646666666666,0.029099333333333366
source_logreg_fusion,combined_v3_logreg,brier_score,0.2606730923876527,0.3338714982785338,-0.07319840589088111
source_logreg_fusion,combined_v3_logreg,expected_calibration_error,0.13612658402737263,0.27512078465202555,-0.13899420062465292
source_logreg_fusion,combined_v3_logreg,precision,0.6152198422070528,0.6009535672683678,0.014266274938685042
source_logreg_fusion,combined_v3_logreg,recall,0.27666666666666667,0.272,0.004666666666666652
source_logreg_fusion,combined_v3_logreg,f1,0.3799482548192075,0.3740208763314024,0.005927378487805113
source_logreg_fusion,combined_v3_logreg,maximum_calibration_error,0.4010399430329299,0.4037187812914307,-0.002678838258500793
source_logreg_fusion,combined_v3_logreg,fake_call_rate,0.22233333333333336,0.225,-0.0026666666666666505
source_logreg_fusion,combined_v3_logreg,real_false_positive_rate,0.168,0.17800000000000002,-0.010000000000000009
source_logreg_fusion,combined_v3_logreg,fake_miss_rate,0.7233333333333333,0.7280000000000001,-0.004666666666666819
