seed,candidate,score_source,n_target,accuracy,roc_auc,brier_score,expected_calibration_error,maximum_calibration_error,precision,recall,f1,support_real,support_fake,fake_call_rate,real_false_positive_rate,fake_miss_rate
7,combined_v3_logreg,target combined_v3 predictions,1000,0.508,0.538174,0.3590839345464284,0.3106286813468909,0.45246484202723347,0.5192307692307693,0.216,0.3050847457627119,500,500,0.208,0.2,0.784
7,reconstruction_lite_logreg,target reconstruction_lite predictions,1000,0.586,0.6119199999999999,0.24290371777845673,0.04352685693612147,0.6121452848116558,0.6033653846153846,0.502,0.5480349344978166,500,500,0.416,0.33,0.498
7,mean_fusion,unweighted mean of target scores,1000,0.525,0.58154,0.2747661389192176,0.16356683790297413,0.22820866556839697,0.5576036866359447,0.242,0.33751743375174337,500,500,0.217,0.192,0.758
7,source_logreg_fusion,logistic fusion fitted on paired source predictions,1000,0.517,0.57472,0.2761135589410191,0.16760724342145666,0.21867367636326368,0.5469613259668509,0.198,0.2907488986784141,500,500,0.181,0.164,0.802
17,combined_v3_logreg,target combined_v3 predictions,1000,0.558,0.604884,0.3255291580008374,0.2672020246876202,0.3838796192812884,0.6330275229357798,0.276,0.38440111420612816,500,500,0.218,0.16,0.724
17,reconstruction_lite_logreg,target reconstruction_lite predictions,1000,0.585,0.630328,0.24061923450526188,0.0610804924039476,0.26845230747903776,0.5906183368869936,0.554,0.5717234262125903,500,500,0.469,0.384,0.446
17,mean_fusion,unweighted mean of target scores,1000,0.58,0.632404,0.2572224922726201,0.13922280413713822,0.2594240582486024,0.650375939849624,0.346,0.4516971279373368,500,500,0.266,0.186,0.654
17,source_logreg_fusion,logistic fusion fitted on paired source predictions,1000,0.562,0.612608,0.26241702781176135,0.14109689446504606,0.8007275369640089,0.6383928571428571,0.286,0.39502762430939226,500,500,0.224,0.162,0.714
29,combined_v3_logreg,target combined_v3 predictions,1000,0.575,0.607036,0.31700140228833573,0.2475316479215656,0.37481188256577036,0.6506024096385542,0.324,0.4325767690253672,500,500,0.249,0.174,0.676
29,reconstruction_lite_logreg,target reconstruction_lite predictions,1000,0.614,0.6662079999999999,0.2296782780533044,0.024541807916664313,0.5388572573661804,0.614,0.614,0.614,500,500,0.5,0.386,0.386
29,mean_fusion,unweighted mean of target scores,1000,0.585,0.6550880000000001,0.2441406254556857,0.1082090046798488,0.1624845829155805,0.6512455516014235,0.366,0.4686299615877081,500,500,0.281,0.196,0.634
29,source_logreg_fusion,logistic fusion fitted on paired source predictions,1000,0.584,0.650064,0.24348869041017765,0.09967561419561512,0.18371861577151716,0.6603053435114504,0.346,0.4540682414698163,500,500,0.262,0.178,0.654
