"seed","method","standardized_coefficient","raw_score_coefficient"
"7","combined_v3","0.728792166732567","2.19097345495479"
"7","resnet18","0.0334144258786314","0.085537579604758"
"7","physics_guided","0.568721257269134","1.43311014666529"
"7","convnext_tiny_frozen","1.72342565103121","4.16870531072382"
"17","combined_v3","0.871076278142142","2.65438938025577"
"17","resnet18","1.06944271972224","2.7207145599311"
"17","physics_guided","0.999091134542536","2.68955652218613"
"17","convnext_tiny_frozen","1.52116038330907","3.80551119822149"
"29","combined_v3","0.541146545049954","1.70753360913299"
"29","resnet18","0.711927056870777","1.89177014427622"
"29","physics_guided","0.949897437598183","2.3767365431263"
"29","convnext_tiny_frozen","1.36385523717259","3.37092742783388"
