group,method,predictions_path,n_samples,positive_rate,predicted_positive_rate,score_mean,score_std,score_min,score_max,accuracy,precision,recall,f1,roc_auc,brier_score,expected_calibration_error,maximum_calibration_error
seed17,dinov2_source_calibrated,runs\score_fusion_dinov2_source_calibrated\ishu_seed17_to_ms_cocoai_all4\ms_cocoai\predictions.csv,1000,0.5,0.166,0.20100979059176974,0.282766210832695,0.010409207332498,0.9946110713254398,0.608,0.8253012048192772,0.274,0.4114114114114114,0.7523879999999998,0.31480375796375587,0.31234665758240043,0.49664983804574125
seed29,dinov2_source_calibrated,runs\score_fusion_dinov2_source_calibrated\ishu_seed29_to_ms_cocoai_all4\ms_cocoai\predictions.csv,1000,0.5,0.19,0.23361599382661258,0.2805823529586377,0.0187498978645131,0.9840094720585658,0.618,0.8105263157894737,0.308,0.4463768115942029,0.744872,0.2945726638904678,0.2724513227414123,0.43275684964938654
seed7,dinov2_source_calibrated,runs\score_fusion_dinov2_source_calibrated\ishu_seed7_to_ms_cocoai_all4\ms_cocoai\predictions.csv,1000,0.5,0.162,0.20334240371879692,0.2714649097456818,0.0184627091309439,0.9553627709036682,0.612,0.845679012345679,0.274,0.41389728096676737,0.7533920000000001,0.30910577037794834,0.2966575962812031,0.44690769024783533
seed17,scp_fusion_dinov2,runs\score_fusion_dinov2_aligned\ishu_seed17_to_ms_cocoai_all4\ms_cocoai\predictions.csv,1000,0.5,0.135,0.16538731258117356,0.2575668069746566,0.0076989956035501,0.9900979121764936,0.591,0.837037037037037,0.226,0.35590551181102364,0.753536,0.3385531012705163,0.3415989966949399,0.5440748255745538
seed29,scp_fusion_dinov2,runs\score_fusion_dinov2_aligned\ishu_seed29_to_ms_cocoai_all4\ms_cocoai\predictions.csv,1000,0.5,0.117,0.18489542579911603,0.2332004409772458,0.0203355280749087,0.956237245874544,0.581,0.8461538461538461,0.198,0.3209076175040519,0.7474799999999999,0.318202963211725,0.3153993567989953,0.492289272629313
seed7,scp_fusion_dinov2,runs\score_fusion_dinov2_aligned\ishu_seed7_to_ms_cocoai_all4\ms_cocoai\predictions.csv,1000,0.5,0.179,0.23671113070236333,0.26114879411446934,0.0429461448620805,0.9405291646552932,0.623,0.8435754189944135,0.302,0.44477172312223856,0.749868,0.2865653635139383,0.26378047787115244,0.4265002818620034
seed17,scp_fusion_v0,runs\score_fusion\ishu_seed17_to_ms_cocoai_all4\ms_cocoai\predictions.csv,1000,0.5,0.114,0.1555010360280806,0.24294003915524767,0.0100495806716184,0.9820022240353822,0.568,0.7982456140350878,0.182,0.2964169381107492,0.7238800000000001,0.3496148008832697,0.34970096743497314,0.5829434742371861
seed29,scp_fusion_v0,runs\score_fusion\ishu_seed29_to_ms_cocoai_all4\ms_cocoai\predictions.csv,1000,0.5,0.123,0.1921434230386457,0.23759796047158993,0.0225671912526238,0.9568757283094914,0.587,0.8536585365853658,0.21,0.33707865168539325,0.729148,0.31767836751375084,0.31131866564791894,0.4779818537879864
seed7,scp_fusion_v0,runs\score_fusion\ishu_seed7_to_ms_cocoai_all4\ms_cocoai\predictions.csv,1000,0.5,0.178,0.2353487591949666,0.2585895501923636,0.0482997282240636,0.9408097227293002,0.618,0.8314606741573034,0.296,0.4365781710914454,0.731504,0.2896651462555088,0.26521306497057584,0.3807328190678302
seed17,source_calibrated,runs\score_fusion_source_calibrated\ishu_seed17_to_ms_cocoai_all4\ms_cocoai\predictions.csv,1000,0.5,0.145,0.18801432809957927,0.2659914266032216,0.0138693060932328,0.9878022969694654,0.591,0.8137931034482758,0.236,0.36589147286821705,0.719408,0.3274857116899063,0.32078415276664574,0.4697411823971815
seed29,source_calibrated,runs\score_fusion_source_calibrated\ishu_seed29_to_ms_cocoai_all4\ms_cocoai\predictions.csv,1000,0.5,0.207,0.24141914785484447,0.288712984659469,0.0202704252123337,0.9847664750358244,0.617,0.782608695652174,0.324,0.4582743988684583,0.721892,0.2999759693630108,0.26872413699274456,0.4515169675507559
seed7,source_calibrated,runs\score_fusion_source_calibrated\ishu_seed7_to_ms_cocoai_all4\ms_cocoai\predictions.csv,1000,0.5,0.172,0.20717371432908932,0.2733840601520157,0.0233825651876746,0.9613742079488498,0.614,0.8313953488372093,0.286,0.4255952380952381,0.7313879999999999,0.3093659166757585,0.2944955091458156,0.46196246307853484
